year,disaster type,disaster group,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage ('000 US$)
2010,Flood,Natural,3,20,,1000,,1000,
2010,Storm,Natural,12,118,241,10700,,10941,9150000
2011,Drought,Natural,1,,,,,,8000000
2011,"Extreme temperature ",Natural,1,22,,,,,
2011,Flood,Natural,4,17,,25100,11000,36100,6600000
2011,Storm,Natural,14,762,3593,370600,15000,389193,43450000
2011,Wildfire,Natural,3,8,5,,6100,6105,1383000
2012,Drought,Natural,2,,,,,,20000000
2012,"Extreme temperature ",Natural,1,123,,,,,
2012,Flood,Natural,1,2,,300,,300,174000
2012,Storm,Natural,19,190,437,89300,267,90004,77497000
2012,Wildfire,Natural,2,3,,1809,1038,2847,800000
2013,"Extreme temperature ",Natural,1,19,,,,,200000
2013,Flood,Natural,7,31,,29325,5400,34725,2277000
2013,Storm,Natural,15,140,985,175889,600,177474,14602000
2013,Wildfire,Natural,5,22,17,111,2247,2375,708400
2014,Drought,Natural,1,,,,,,2200000
2014,Earthquake,Natural,1,1,250,3000,,3250,700000
2014,"Extreme temperature ",Natural,1,21,,,,,2500000
2014,Flood,Natural,2,2,,102000,,102000,1690000
2014,Landslide,Natural,1,43,,,150,150,20000
2014,Storm,Natural,13,136,51,1134,30,1215,9568000
2014,Wildfire,Natural,1,2,,429,,429,100000
2015,Drought,Natural,1,,,,,,1800000
2015,Flood,Natural,5,98,50,28600,,28650,3402000
2015,Storm,Natural,19,209,176,4400,,4576,14320000
2015,Wildfire,Natural,4,12,8,600,12756,13364,1952000
2016,Earthquake,Natural,1,,,120,,120,20000
2016,Flood,Natural,6,54,,91000,,91000,15150000
2016,Storm,Natural,16,199,98,85018800,570,85019468,27350000
2016,Wildfire,Natural,4,16,191,456,7805,8452,1500000
2017,Drought,Natural,1,,,,,,2500000
2017,Flood,Natural,3,30,70,300,,370,1700000
2017,Storm,Natural,17,222,301,756860,97000,854161,171110000
2017,Wildfire,Natural,3,32,187,9,12108,12304,15200000
2018,Landslide,Natural,1,21,28,1338,,1366,850000
2018,Storm,Natural,6,136,,,,,12800000
2018,"Volcanic activity",Natural,1,,,2500,,2500,
2018,Wildfire,Natural,1,14,,,,,1000000
